id   ,  Country  ,     Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local     ,    Area Global    ,                       Also known as                      
377  ,   China   ,      LIJIANG       ,   CNLIJ   ,        62         ,             31              ,            51             ,          1          ,    Port     ,    South China    ,    South China    ,                            null                          
55   ,   China   ,      QINZHOU       ,   CNQZH   ,        262        ,             110             ,            98             ,         77          ,    Port     ,    South China    ,    South China    ,                        "[QIN ZHOU]"                      
17   ,   China   ,     GUANGZHOU      ,   CNGZG   ,        638        ,             234             ,            296            ,         132         ,    Port     ,    South China    ,    South China    ,             "[GUANG ZHOU, NEIGANG, SHIGANGAO]"           
25   ,   China   ,       XIAMEN       ,   CNXMG   ,        465        ,             162             ,            164            ,         123         ,    Port     ,  East China Sea   ,    South China    ,            "[XIA MEN, XIA MEM, CN XMN, CNXMN]"           
33   ,   China   ,      QINGDAO       ,   CNQDG   ,        387        ,             202             ,            212            ,         290         ,    Port     ,    Yellow Sea     ,    North China    ,            "[QING DAO, QIANWAN, CNTAO, CN TAO]"          
264  ,   China   ,     DONGJIAKOU     ,   CNDJK   ,        80         ,             94              ,            100            ,         50          ,    Port     ,    Yellow Sea     ,    North China    ,                      "[DONGJIA KOU]"                     
30   ,   China   ,       SHIDAO       ,   CNSHD   ,        403        ,             349             ,            400            ,         35          ,    Port     ,    Yellow Sea     ,    North China    ,                        "[SHI DAO]"                       
28   ,   China   ,    LIANYUNGANG     ,   CNLYG   ,        416        ,             84              ,            187            ,         127         ,    Port     ,    Yellow Sea     ,    North China    ,                     "[LIAN YUN GANG]"                    
242  ,   China   ,      SANSHAN       ,   CNNHS   ,        86         ,             48              ,            41             ,          1          ,    Port     ,  East China Sea   ,  "Inland, China"  ,                            null                          
26   ,   China   ,     CAOFEIDIAN     ,   CNCFD   ,        460        ,             339             ,            323            ,         235         ,    Port     ,     Bohai Sea     ,    North China    ,             "[CAO FEI DIAN, CAOFEDIAN, C F D]"           
