id   ,  Country  ,     Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,   Type   ,      Area Local      ,      Area Global      ,                        Also known as                      
201  ,  France   ,       BREST        ,   FRBES   ,        96         ,             38              ,            66             ,          6          ,   Port   ,      Biscay Bay      ,  UK Coast & Atlantic  ,                            null                           
278  ,  France   ,       PARIS        ,   FRPAR   ,        77         ,             16              ,            16             ,         16          ,   Port   ,   "Inland, Europe"   ,   "Inland, Europe"    ,                            null                           
269  ,  France   ,    SAINT TROPEZ    ,   FRSTP   ,        79         ,             54              ,            86             ,          6          ,  Marina  ,     Ligurean Sea     ,  West Mediterranean   ,                        "[ST TROPEZ]"                      
307  ,  France   ,      LORIENT       ,   FRLRT   ,        71         ,             38              ,            59             ,          8          ,   Port   ,      Biscay Bay      ,  UK Coast & Atlantic  ,                            null                           
230  ,  France   ,     MARSEILLE      ,   FRMRS   ,        88         ,             72              ,            91             ,         11          ,   Port   ,  West Mediterranean  ,  West Mediterranean   ,                            null                           
372  ,  France   ,       ROUEN        ,   FRURO   ,        62         ,             15              ,            28             ,         17          ,   Port   ,   "Inland, Europe"   ,   "Inland, Europe"    ,                            null                           
351  ,  France   ,    FOS SUR MER     ,   FRFOS   ,        64         ,             27              ,            35             ,         23          ,   Port   ,  West Mediterranean  ,  West Mediterranean   ,  "[FRFZS,  FOS FRANCE,  FOS SUR MER FRANCE,  FOS-SUR-MER]"
179  ,  France   ,      LE HAVRE      ,   FRLEH   ,        107        ,             69              ,            79             ,         39          ,   Port   ,   English Channel    ,  UK Coast & Atlantic  ,                         "[LEHAVRE]"                       
410  ,  France   ,  PORT DU CROUESTY  ,   FRRZN   ,        58         ,             18              ,            49             ,          0          ,   Port   ,      Biscay Bay      ,  UK Coast & Atlantic  ,                          "[ARZON]"                        
154  ,  France   ,      ANTIBES       ,   FRANT   ,        119        ,             18              ,            21             ,          6          ,   Port   ,     Ligurean Sea     ,  West Mediterranean   ,                            null                           
