id   ,    Country    ,       Port Name        ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,     Area Local     ,      Area Global      ,                  Also known as                
448  ,  Netherlands  ,      HINDELOOPEN       ,   NLHLP   ,        54         ,             33              ,            36             ,          0          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
66   ,  Netherlands  ,       ENKHUIZEN        ,   NLENK   ,        221        ,             188             ,            196            ,          2          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
173  ,  Netherlands  ,       BRUINISSE        ,   NLBSE   ,        110        ,             89              ,            89             ,          5          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
466  ,  Netherlands  ,       STELLENDAM       ,   NLSTD   ,        52         ,             21              ,            16             ,          6          ,    Port     ,   Rotterdam Area   ,  UK Coast & Atlantic  ,                      null                     
337  ,  Netherlands  ,     LELYSTAD HAVEN     ,   null    ,        66         ,             34              ,            45             ,          4          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
172  ,  Netherlands  ,         MAKKUM         ,   NLMAK   ,        111        ,             26              ,            69             ,          0          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
338  ,  Netherlands  ,         SNEEK          ,   NLSNK   ,        66         ,             36              ,            46             ,          2          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
79   ,  Netherlands  ,       ROTTERDAM        ,   NLRTM   ,        179        ,             199             ,            193            ,         336         ,    Port     ,   Rotterdam Area   ,  UK Coast & Atlantic  ,  "[MAASDIJK,  EUROPOORT,  RDAM,  DINTELHAVEN]"
344  ,  Netherlands  ,       DEN OEVER        ,   NLWRG   ,        65         ,             62              ,            52             ,          5          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
141  ,  Netherlands  ,  ROTTERDAM MAASVLAKTE  ,   NLMSV   ,        128        ,             171             ,            161            ,          4          ,    Port     ,   Rotterdam Area   ,  UK Coast & Atlantic  ,          "[MAASVLAKTE,  EUROPAHAVEN]"         
137  ,  Netherlands  ,        LELYSTAD        ,   NLLEY   ,        129        ,             114             ,            121            ,          5          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
135  ,  Netherlands  ,       DEN HELDER       ,   NLDHR   ,        132        ,             42              ,            61             ,         14          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                  "[DENHELDER]"                
89   ,  Netherlands  ,       DORDRECHT        ,   NLDOR   ,        170        ,             86              ,            100            ,         10          ,    Port     ,   Rotterdam Area   ,  UK Coast & Atlantic  ,              "[DORDT,  DORDRECT]"             
71   ,  Netherlands  ,       HARLINGEN        ,   NLHAR   ,        200        ,             83              ,            129            ,         34          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                  "[WADDENZEE]"                
364  ,  Netherlands  ,        DELFZIJL        ,   NLDZL   ,        63         ,             26              ,            23             ,          9          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                   "[DELZIJL]"                 
365  ,  Netherlands  ,      SCHEVENINGEN      ,   NLSCE   ,        63         ,             34              ,            35             ,          9          ,    Port     ,   Rotterdam Area   ,  UK Coast & Atlantic  ,                 "[SCHEVENING]"                
456  ,  Netherlands  ,      FLEVO MARINA      ,   null    ,        53         ,             27              ,            42             ,          0          ,    Port     ,     North Sea      ,  UK Coast & Atlantic  ,                      null                     
116  ,  Netherlands  ,   ROTTERDAM CENTRUM    ,   null    ,        146        ,             165             ,            152            ,          1          ,    Port     ,   Rotterdam Area   ,  UK Coast & Atlantic  ,                      null                     
