id   ,  Country  ,      Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,  Type  ,      Area Local       ,      Area Global      ,                Also known as              
97   ,   Spain   ,      BARCELONA      ,   ESBCN   ,        162        ,             119             ,            122            ,         32          ,  Port  ,     Balearic Sea      ,  West Mediterranean   ,         "[BARCELLONA ,  PORT BCN]"        
422  ,   Spain   ,       CORUNA        ,   ESLCG   ,        56         ,             43              ,            41             ,         20          ,  Port  ,      Biscay Bay       ,  UK Coast & Atlantic  ,     "[ACORUNA,  LA CORUNA,  A CORUNA]"    
232  ,   Spain   ,        DENIA        ,   ESDNA   ,        88         ,             17              ,            11             ,          9          ,  Port  ,     Balearic Sea      ,  West Mediterranean   ,                    null                   
244  ,   Spain   ,        CADIZ        ,   ESCAD   ,        85         ,             139             ,            133            ,         11          ,  Port  ,       Gibraltar       ,  UK Coast & Atlantic  ,                    null                   
250  ,   Spain   ,      CARTAGENA      ,   ESCAR   ,        84         ,             36              ,            35             ,         24          ,  Port  ,  West Mediterranean   ,  West Mediterranean   ,           "[ESCOMBRERAS,  ESESC]"         
109  ,   Spain   ,     LAS PALMAS      ,   ESLPA   ,        149        ,             66              ,            78             ,         114         ,  Port  ,      West Africa      ,      West Africa      ,  "[LASPALMAS,  LA LUZ,  PUERTO DE LA LUZ]"
207  ,   Spain   ,        VIGO         ,   ESVGO   ,        93         ,             65              ,            75             ,         31          ,  Port  ,  UK Coast & Atlantic  ,  UK Coast & Atlantic  ,                    null                   
302  ,   Spain   ,      ALGECIRAS      ,   ESALG   ,        71         ,             191             ,            202            ,         93          ,  Port  ,       Gibraltar       ,  West Mediterranean   ,                    null                   
300  ,   Spain   ,        IBIZA        ,   ESIBZ   ,        72         ,             96              ,            92             ,         22          ,  Port  ,     Balearic Sea      ,  West Mediterranean   ,                   "[IBZ]"                 
50   ,   Spain   ,  PALMA DE MALLORCA  ,   ESPMI   ,        276        ,             73              ,            76             ,         15          ,  Port  ,     Balearic Sea      ,  West Mediterranean   ,            "[PALMA,  MALLORCA]"           
359  ,   Spain   ,      TARRAGONA      ,   ESTAR   ,        63         ,             45              ,            26             ,         35          ,  Port  ,     Balearic Sea      ,  West Mediterranean   ,                "[TARAGONA]"               
84   ,   Spain   ,      VALENCIA       ,   ESVLC   ,        173        ,             40              ,            41             ,         30          ,  Port  ,     Balearic Sea      ,  West Mediterranean   ,                    null                   
408  ,   Spain   ,     TORREVIEJA      ,   ESTOR   ,        58         ,             22              ,            23             ,          6          ,  Port  ,  West Mediterranean   ,  West Mediterranean   ,                    null                   
