id   ,  Country  ,    Port Name    ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,      Area Local      ,     Area Global      ,                Also known as              
87   ,  Turkey   ,     BODRUM      ,   TRBXN   ,        171        ,             72              ,            73             ,          8          ,    Port     ,      Aegean Sea      ,  East Mediterranean  ,                    null                   
441  ,  Turkey   ,     NEMRUT      ,   TRNEM   ,        54         ,             46              ,            44             ,         11          ,    Port     ,      Aegean Sea      ,  East Mediterranean  ,                    null                   
107  ,  Turkey   ,      GOCEK      ,   TRGCK   ,        150        ,             37              ,            63             ,          9          ,    Port     ,  East Mediterranean  ,  East Mediterranean  ,                    null                   
382  ,  Turkey   ,   TUZLA ANCH    ,   null    ,        61         ,             48              ,            53             ,          0          ,  Anchorage  ,     Marmara Sea      ,      Black Sea       ,                    null                   
113  ,  Turkey   ,      TUZLA      ,   TRTUZ   ,        148        ,             53              ,            59             ,         14          ,    Port     ,     Marmara Sea      ,      Black Sea       ,                    null                   
293  ,  Turkey   ,    CANAKKALE    ,   TRCKZ   ,        73         ,             10              ,            38             ,         14          ,    Canal    ,      Aegean Sea      ,  East Mediterranean  ,  "[DARDANELLES,  DARDANELES,  DARDANELLE]"
189  ,  Turkey   ,     FETHIYE     ,   TRFET   ,        103        ,             58              ,            60             ,          1          ,    Port     ,  East Mediterranean  ,  East Mediterranean  ,                    null                   
341  ,  Turkey   ,   ISKENDERUN    ,   TRISK   ,        65         ,             60              ,            61             ,         58          ,    Port     ,  East Mediterranean  ,  East Mediterranean  ,      "[ISDEMIR,  AZGANLIK,  SARISEKI]"    
169  ,  Turkey   ,     YALOVA      ,   TRYAL   ,        112        ,             107             ,            105            ,         10          ,    Port     ,     Marmara Sea      ,      Black Sea       ,                    null                   
104  ,  Turkey   ,  ISTANBUL ANCH  ,   null    ,        154        ,             169             ,            164            ,          1          ,  Anchorage  ,     Marmara Sea      ,      Black Sea       ,                    null                   
24   ,  Turkey   ,    ISTANBUL     ,   TRIST   ,        486        ,             455             ,            496            ,         73          ,    Canal    ,     Marmara Sea      ,      Black Sea       ,      "[BOSPORUS,  BOSPHORUS,  TURKEY]"    
