id   ,     Country      ,   Port Name    ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,   Type   ,    Area Local     ,      Area Global      ,        Also known as      
418  ,  United Kingdom  ,     POOLE      ,   GBPOO   ,        57         ,             29              ,            46             ,          1          ,   Port   ,  English Channel  ,  UK Coast & Atlantic  ,            null           
435  ,  United Kingdom  ,  PORTLAND UK   ,   GBPTL   ,        55         ,             22              ,            28             ,          1          ,   Port   ,  English Channel  ,  UK Coast & Atlantic  ,        "[PORTLAND]"       
420  ,  United Kingdom  ,     SOLENT     ,   null    ,        57         ,             12              ,            32             ,          0          ,   Port   ,  English Channel  ,  UK Coast & Atlantic  ,            null           
343  ,  United Kingdom  ,    GRIMSBY     ,   GBGSY   ,        65         ,             36              ,            61             ,          6          ,   Port   ,     North Sea     ,  UK Coast & Atlantic  ,            null           
160  ,  United Kingdom  ,  SOUTHAMPTON   ,   GBSOU   ,        116        ,             126             ,            119            ,         30          ,   Port   ,  English Channel  ,  UK Coast & Atlantic  ,        "[MARCHWOOD]"      
253  ,  United Kingdom  ,  HAMBLE POINT  ,   null    ,        83         ,             51              ,            78             ,          0          ,  Marina  ,  English Channel  ,  UK Coast & Atlantic  ,  "[SOUTHAMPTON,  HAMPSHI]"
215  ,  United Kingdom  ,     LONDON     ,   GBLON   ,        92         ,             112             ,            110            ,         11          ,   Port   ,     North Sea     ,  UK Coast & Atlantic  ,            null           
205  ,  United Kingdom  ,    MERCURY     ,   null    ,        94         ,             24              ,            62             ,          0          ,  Marina  ,  English Channel  ,  UK Coast & Atlantic  ,  "[SOUTHAMPTON,  HAMPSHI]"
197  ,  United Kingdom  ,   LYMINGTON    ,   GBLYM   ,        98         ,             72              ,            76             ,          0          ,   Port   ,  English Channel  ,  UK Coast & Atlantic  ,            null           
325  ,  United Kingdom  ,     COWES      ,   GBCOW   ,        68         ,             152             ,            106            ,          0          ,   Port   ,  English Channel  ,  UK Coast & Atlantic  ,            null           
464  ,  United Kingdom  ,   LIVERPOOL    ,   GBLIV   ,        52         ,             31              ,            45             ,         12          ,   Port   ,     Irish Sea     ,  UK Coast & Atlantic  ,            null           
134  ,  United Kingdom  ,    GOSPORT     ,   GBGOS   ,        133        ,             82              ,            107            ,          0          ,   Port   ,  English Channel  ,  UK Coast & Atlantic  ,            null           
240  ,  United Kingdom  ,    FALMOUTH    ,   GBFAL   ,        86         ,             39              ,            54             ,          5          ,   Port   ,    Celtic Sea     ,  UK Coast & Atlantic  ,   "[NORTH END SHIPYARD]"  
458  ,  United Kingdom  ,  PORT HAMBLE   ,   null    ,        53         ,             22              ,            39             ,          0          ,  Marina  ,  English Channel  ,  UK Coast & Atlantic  ,  "[SOUTHAMPTON,  HAMPSHI]"
93   ,  United Kingdom  ,    PLYMOUTH    ,   GBPLY   ,        168        ,             40              ,            72             ,          9          ,   Port   ,  English Channel  ,  UK Coast & Atlantic  ,            null           
399  ,  United Kingdom  ,   LOWESTOFT    ,   GBLOW   ,        59         ,             25              ,            34             ,          3          ,   Port   ,     North Sea     ,  UK Coast & Atlantic  ,  "[BOULEVARD LEISURE CE]" 
